04/27/2026-16:52:16.496405  [**] [1:2210044:2] SURICATA STREAM Packet with invalid timestamp [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.3:80 -> 172.16.10.1:57332
04/27/2026-16:52:17.000039  [**] [1:2210044:2] SURICATA STREAM Packet with invalid timestamp [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.3:80 -> 172.16.10.1:41062
04/27/2026-16:52:20.072119  [**] [1:2210044:2] SURICATA STREAM Packet with invalid timestamp [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.3:80 -> 172.16.10.1:51536
04/27/2026-16:52:23.645923  [**] [1:2210044:2] SURICATA STREAM Packet with invalid timestamp [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.3:80 -> 172.16.10.1:57137
04/27/2026-16:52:23.902150  [**] [1:2210044:2] SURICATA STREAM Packet with invalid timestamp [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.3:80 -> 172.16.10.1:55498
04/27/2026-16:52:54.619267  [**] [1:2210044:2] SURICATA STREAM Packet with invalid timestamp [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.3:80 -> 172.16.10.1:34239
04/27/2026-16:52:59.484216  [**] [1:2210044:2] SURICATA STREAM Packet with invalid timestamp [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.3:80 -> 172.16.10.1:43378
04/27/2026-16:53:01.278244  [**] [1:2210044:2] SURICATA STREAM Packet with invalid timestamp [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.3:80 -> 172.16.10.1:48028
04/27/2026-16:53:09.720938  [**] [1:2210044:2] SURICATA STREAM Packet with invalid timestamp [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.3:80 -> 172.16.10.1:36239
04/27/2026-16:53:17.936659  [**] [1:2210036:3] SURICATA STREAM FIN2 invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:56252 -> 172.16.10.3:80
